"time_period","time_identifier","geographic_level","country_code","country_name","region_name","region_code","breakdown_topic","breakdown","apps_received","apps_approved","loan_amount_awarded_in_thousands"
201516,"Academic year","National","E92000001","England","","","Gender","Male","23810","20980","62900"
201516,"Academic year","National","E92000001","England","","","Provider type","General FE College including Tertiary","43830","38290","105400"
201516,"Academic year","National","E92000001","England","","","Provider type","Other Public Funded","3670","3340","7300"
201516,"Academic year","National","E92000001","England","","","Provider type","Private Sector Public Funded","31190","27850","77300"
201516,"Academic year","National","E92000001","England","","","Provider type","Schools"," low"," low"," low"
201516,"Academic year","National","E92000001","England","","","Provider type","Sixth form college","750","610","1500"
201516,"Academic year","National","E92000001","England","","","Provider type","Special colleges","1200","1090","3800"
201516,"Academic year","National","E92000001","England","","","Provider type","Unknown","20"," low"," low"
201516,"Academic year","National","E92000001","England","","","Qualification type","A Level","420","340","300"
201516,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Certificate","8830","8070","9000"
201516,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Diploma","49640","44060","129400"
201516,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Vocational Qualification","110","100","200"
201516,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Certificate","900","820","1000"
201516,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Diploma","3760","3340","9400"
201516,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Vocational Qualification","60","60","100"
201516,"Academic year","National","E92000001","England","","","Qualification type","QAA Access to HE","16910","14400","45700"
201516,"Academic year","National","E92000001","England","","","Qualification type","Unknown","30","10"," low"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Agriculture, Horticulture and Animal Care","1340","1220","5300"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Arts, Media and Publishing","1900","1630","6600"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Business, Administration and Law","13980","12090","27600"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Construction, Planning and the Built Environment","3620","3290","12900"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Education and Training","9550","8830","15000"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Engineering and Manufacturing Technologies","1180","1040","4500"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Health, Public Services and Care","24810","21640","62300"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","History, Philosophy and Theology","430","350","1000"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Information and Communication Technology","1170","1000","3400"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Languages, Literature and Culture","290","270","200"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Leisure, Travel and Tourism","8230","7570","20200"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Preparation for Life and Work","low","low"," low"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Retail and Commercial Enterprise","9450","8330","24500"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Science and Mathematics","2090","1770","5400"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Social Sciences","2090","1730","5100"
201516,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Unknown/Not applicable","520","430","1100"
201516,"Academic year","National","E92000001","England","","","Total","Total","80650","71190","195200"
201516,"Academic year","National","E92000001","England","","","UK Status","Non-UK","15310","13860","40200"
201516,"Academic year","National","E92000001","England","","","UK Status","UK","65340","57330","155000"
201516,"Academic year","Regional","E92000001","England","North East","E12000001","Total","Total","6170","5480","14700"
201516,"Academic year","Regional","E92000001","England","North West","E12000002","Total","Total","12600","11160","31800"
201516,"Academic year","Regional","E92000001","England","Yorkshire and The Humber","E12000003","Total","Total","8470","7560","19300"
201516,"Academic year","Regional","E92000001","England","East Midlands","E12000004","Total","Total","5760","5130","13700"
201516,"Academic year","Regional","E92000001","England","West Midlands","E12000005","Total","Total","8070","7140","19500"
201516,"Academic year","Regional","E92000001","England","East of England","E12000006","Total","Total","6600","5740","16500"
201516,"Academic year","Regional","E92000001","England","London","E12000007","Total","Total","15530","13840","39100"
201516,"Academic year","Regional","E92000001","England","South East","E12000008","Total","Total","7810","6610","17200"
201516,"Academic year","Regional","E92000001","England","South West","E12000009","Total","Total","9030","8000","21900"
201516,"Academic year","Regional","E92000001","England","Outside of England and unknown","z","Total","Total","610","520","1500"
201617,"Academic year","National","E92000001","England","","","Age group","19-23","21240","18520","59500"
201617,"Academic year","National","E92000001","England","","","Age group","24-30","27260","23680","69700"
201617,"Academic year","National","E92000001","England","","","Age group","31-40","26110","23130","62900"
201617,"Academic year","National","E92000001","England","","","Age group","41-50","14040","12510","32700"
201617,"Academic year","National","E92000001","England","","","Age group","50+","4990","4420","11300"
201617,"Academic year","National","E92000001","England","","","Age group","Unknown","30","20"," low"
201617,"Academic year","National","E92000001","England","","","Gender","Female","66100","58100","160200"
201617,"Academic year","National","E92000001","England","","","Gender","Male","27560","24190","76000"
201617,"Academic year","National","E92000001","England","","","Provider type","General FE College including Tertiary","51530","45560","131100"
201617,"Academic year","National","E92000001","England","","","Provider type","Other Public Funded","3860","3560","8500"
201617,"Academic year","National","E92000001","England","","","Provider type","Private Sector Public Funded","35420","30600","88300"
201617,"Academic year","National","E92000001","England","","","Provider type","Schools","130","110","200"
201617,"Academic year","National","E92000001","England","","","Provider type","Sixth form college","990","910","2100"
201617,"Academic year","National","E92000001","England","","","Provider type","Special colleges","1700","1530","6000"
201617,"Academic year","National","E92000001","England","","","Provider type","Unknown","30","20"," low"
201617,"Academic year","National","E92000001","England","","","Qualification type","A Level","680","600","600"
201617,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Certificate","8650","7770","8800"
201617,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Diploma","52460","46490","145100"
201617,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Vocational Qualification","5300","4580","11300"
201617,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Certificate","990","890","1000"
201617,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Diploma","3340","3000","10200"
201617,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Vocational Qualification","2230","1920","3800"
201617,"Academic year","National","E92000001","England","","","Qualification type","QAA Access to HE","20000","17030","55300"
201617,"Academic year","National","E92000001","England","","","Qualification type","Unknown","30","20"," low"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Agriculture, Horticulture and Animal Care","2140","1910","9700"
