"time_period","time_identifier","geographic_level","country_code","country_name","region_name","region_code","breakdown_topic","breakdown","apps_received","apps_approved","loan_amount_awarded_in_thousands"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Preparation for Life and Work","low","low","low"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Retail and Commercial Enterprise","10780","9260","28500"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Science and Mathematics","1810","1570","4900"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Social Sciences","1890","1640","4800"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Unknown/Not applicable","4270","3760","12000"
201920,"Academic year","National","E92000001","England","","","Total","Total","69400","61280","182400"
201920,"Academic year","National","E92000001","England","","","UK Status","Non-UK","11950","11010","33800"
201920,"Academic year","National","E92000001","England","","","UK Status","UK","57450","50270","148700"
201920,"Academic year","Regional","E92000001","England","North East","E12000001","Total","Total","5180","4620","13200"
201920,"Academic year","Regional","E92000001","England","North West","E12000002","Total","Total","9260","8000","22800"
201920,"Academic year","Regional","E92000001","England","Yorkshire and The Humber","E12000003","Total","Total","6860","6020","17700"
201920,"Academic year","Regional","E92000001","England","East Midlands","E12000004","Total","Total","4080","3630","10700"
201920,"Academic year","Regional","E92000001","England","West Midlands","E12000005","Total","Total","8310","7240","22900"
201920,"Academic year","Regional","E92000001","England","East of England","E12000006","Total","Total","5690","5070","16000"
201920,"Academic year","Regional","E92000001","England","London","E12000007","Total","Total","11610","10690","32500"
201920,"Academic year","Regional","E92000001","England","South East","E12000008","Total","Total","6600","5930","18400"
201920,"Academic year","Regional","E92000001","England","South West","E12000009","Total","Total","9150","7840","22200"
201920,"Academic year","Regional","E92000001","England","Outside of England and unknown","z","Total","Total","2680","2230","6000"
202021,"Academic year","National","E92000001","England","","","Age group","19-23","14600","12810","42600"
202021,"Academic year","National","E92000001","England","","","Age group","24-30","17080","14810","45900"
202021,"Academic year","National","E92000001","England","","","Age group","31-40","18770","16660","48200"
202021,"Academic year","National","E92000001","England","","","Age group","41-50","8940","8020","22200"
202021,"Academic year","National","E92000001","England","","","Age group","50+","3480","3050","8100"
202021,"Academic year","National","E92000001","England","","","Age group","Unknown","10","low","low"
202021,"Academic year","National","E92000001","England","","","Gender","Female","47540","41850","121300"
202021,"Academic year","National","E92000001","England","","","Gender","Male","15330","13500","45700"
202021,"Academic year","National","E92000001","England","","","Provider type","General FE College including Tertiary","38050","33520","101400"
202021,"Academic year","National","E92000001","England","","","Provider type","Other Public Funded","2410","2170","6000"
202021,"Academic year","National","E92000001","England","","","Provider type","Private Sector Public Funded","20620","18110","53800"
202021,"Academic year","National","E92000001","England","","","Provider type","Schools","low","low","low"
202021,"Academic year","National","E92000001","England","","","Provider type","Sixth form college","390","320","800"
202021,"Academic year","National","E92000001","England","","","Provider type","Special colleges","1390","1240","4900"
202021,"Academic year","National","E92000001","England","","","Provider type","Unknown","10","low","low"
202021,"Academic year","National","E92000001","England","","","Qualification type","A Level","250","200","300"
202021,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Certificate","4130","3680","4200"
202021,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Diploma","28630","25530","79000"
202021,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Vocational Qualification","6140","5470","18600"
202021,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Certificate","900","820","900"
202021,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Diploma","3840","3330","11400"
202021,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Vocational Qualification","970","860","2000"
202021,"Academic year","National","E92000001","England","","","Qualification type","QAA Access to HE","18000","15460","50600"
202021,"Academic year","National","E92000001","England","","","Qualification type","Unknown","10","low","low"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Agriculture, Horticulture and Animal Care","1480","1320","6200"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Arts, Media and Publishing","2380","2130","9100"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Business, Administration and Law","6550","5880","15200"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Construction, Planning and the Built Environment","1520","1380","5800"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Education and Training","3710","3380","6300"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Engineering and Manufacturing Technologies","1920","1610","7400"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Health, Public Services and Care","19520","17090","48200"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","History, Philosophy and Theology","60","50","100"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Information and Communication Technology","630","540","2000"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Languages, Literature and Culture","210","190","400"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Leisure, Travel and Tourism","2580","2420","5600"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Preparation for Life and Work","low","low","low"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Retail and Commercial Enterprise","10450","9140","28200"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Science and Mathematics","1620","1400","4400"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Social Sciences","1670","1390","4000"
202021,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Unknown/Not applicable","8580","7430","24200"
202021,"Academic year","National","E92000001","England","","","Total","Total","62870","55350","166900"
202021,"Academic year","National","E92000001","England","","","UK Status","Non-UK","10200","9390","29000"
202021,"Academic year","National","E92000001","England","","","UK Status","UK","52670","45960","138000"
202021,"Academic year","Regional","E92000001","England","North East","E12000001","Total","Total","5340","4730","14300"
202021,"Academic year","Regional","E92000001","England","North West","E12000002","Total","Total","8370","7230","20600"
202021,"Academic year","Regional","E92000001","England","Yorkshire and The Humber","E12000003","Total","Total","6720","5960","17700"
202021,"Academic year","Regional","E92000001","England","East Midlands","E12000004","Total","Total","3900","3410","10100"
202021,"Academic year","Regional","E92000001","England","West Midlands","E12000005","Total","Total","7300","6350","20000"
202021,"Academic year","Regional","E92000001","England","East of England","E12000006","Total","Total","6300","5620","17400"
202021,"Academic year","Regional","E92000001","England","London","E12000007","Total","Total","10180","9340","29000"
202021,"Academic year","Regional","E92000001","England","South East","E12000008","Total","Total","6250","5530","17600"
202021,"Academic year","Regional","E92000001","England","South West","E12000009","Total","Total","5970","5220","15100"
202021,"Academic year","Regional","E92000001","England","Outside of England and unknown","z","Total","Total","2540","1960","5000"
202122,"Academic year","National","E92000001","England","","","Age group","19-23","11750","10140","34800"
202122,"Academic year","National","E92000001","England","","","Age group","24-30","12990","11050","34600"
202122,"Academic year","National","E92000001","England","","","Age group","31-40","14980","12990","37800"
202122,"Academic year","National","E92000001","England","","","Age group","41-50","6920","6060","17100"
202122,"Academic year","National","E92000001","England","","","Age group","50+","2570","2230","6100"
202122,"Academic year","National","E92000001","England","","","Age group","Unknown","low","low","low"
202122,"Academic year","National","E92000001","England","","","Gender","Female","37930","32670","97700"
202122,"Academic year","National","E92000001","England","","","Gender","Male","11280","9800","32700"
202122,"Academic year","National","E92000001","England","","","Provider type","General FE College including Tertiary","30330","26330","80600"
202122,"Academic year","National","E92000001","England","","","Provider type","Other Public Funded","1810","1590","4800"
202122,"Academic year","National","E92000001","England","","","Provider type","Private Sector Public Funded","15590","13250","40000"
202122,"Academic year","National","E92000001","England","","","Provider type","Schools","low","low","low"
202122,"Academic year","National","E92000001","England","","","Provider type","Sixth form college","330","280","700"
202122,"Academic year","National","E92000001","England","","","Provider type","Special colleges","1150","1010","4200"
202122,"Academic year","National","E92000001","England","","","Provider type","Unknown","low","low","low"
202122,"Academic year","National","E92000001","England","","","Qualification type","A Level","220","180","300"
202122,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Certificate","2800","2470","2700"
202122,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Diploma","21770","18980","59500"
202122,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Vocational Qualification","4480","3860","13300"
202122,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Certificate","750","700","800"
202122,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Diploma","3320","2870","10500"
202122,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Vocational Qualification","820","700","1600"
202122,"Academic year","National","E92000001","England","","","Qualification type","QAA Access to HE","15060","12720","41600"
202122,"Academic year","National","E92000001","England","","","Qualification type","Unknown","10","low","low"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Agriculture, Horticulture and Animal Care","1400","1220","6000"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Arts, Media and Publishing","3020","2650","11800"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Business, Administration and Law","3750","3260","8900"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Construction, Planning and the Built Environment","740","670","2600"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Education and Training","2900","2620","4900"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Engineering and Manufacturing Technologies","1260","1090","4600"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Health, Public Services and Care","18300","15720","45600"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","History, Philosophy and Theology","110","100","300"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Information and Communication Technology","690","580","2400"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Languages, Literature and Culture","250","200","400"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Leisure, Travel and Tourism","2530","2240","5300"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Preparation for Life and Work","low","low","low"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Retail and Commercial Enterprise","10600","9070","28300"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Science and Mathematics","1950","1670","5200"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Social Sciences","1700","1410","4100"
202122,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Unknown/Not applicable","10","low","low"
202122,"Academic year","National","E92000001","England","","","Total","Total","49210","42470","130400"
202122,"Academic year","National","E92000001","England","","","UK Status","Non-UK","7060","6410","20200"
202122,"Academic year","National","E92000001","England","","","UK Status","UK","42150","36060","110200"
202122,"Academic year","Regional","E92000001","England","North East","E12000001","Total","Total","4360","3830","11800"
202122,"Academic year","Regional","E92000001","England","North West","E12000002","Total","Total","6670","5520","16500"
202122,"Academic year","Regional","E92000001","England","Yorkshire and The Humber","E12000003","Total","Total","6050","5190","15500"
202122,"Academic year","Regional","E92000001","England","East Midlands","E12000004","Total","Total","3170","2740","8200"
202122,"Academic year","Regional","E92000001","England","West Midlands","E12000005","Total","Total","6110","5290","16900"
202122,"Academic year","Regional","E92000001","England","East of England","E12000006","Total","Total","4820","4200","13200"
202122,"Academic year","Regional","E92000001","England","London","E12000007","Total","Total","6880","6140","19000"
202122,"Academic year","Regional","E92000001","England","South East","E12000008","Total","Total","5190","4530","14800"
202122,"Academic year","Regional","E92000001","England","South West","E12000009","Total","Total","4280","3720","11300"
202122,"Academic year","Regional","E92000001","England","Outside of England and unknown","z","Total","Total","1680","1310","3200"
