"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","la_name","old_la_code","new_la_code","breakdown","group_name","total_ects_count_provider_led","total_mentors_trained_count_provider_led","count_swfc_ects","count_swfc_ects_pending_confirmation_provider_led","count_swfc_ects_provider_led","count_swfc_ects_school_led","percent_swfc_ects_pending_confirmation_provider_led","percent_swfc_ects_provider_led","percent_swfc_ects_school_led"
"202223","Academic year","National","E92000001","England",,,,,,"School type group","Local authority maintained schools",8561,6345,7049,1,6788,260,"0","96.3","3.7"
"202122","Academic year","National","E92000001","England",,,,,,"School type group","Other types",138,133,8,0,8,0,"0","100","0"
"202223","Academic year","National","E92000001","England",,,,,,"School type group","Other types",126,88,10,0,10,0,"0","100","0"
"202122","Academic year","National","E92000001","England",,,,,,"School type group","Special schools",627,565,452,2,434,16,"0.4","96","3.5"
"202223","Academic year","National","E92000001","England",,,,,,"School type group","Special schools",665,412,421,0,408,13,"0","96.9","3.1"
"202122","Academic year","National","E92000001","England",,,,,,"School type group","Unknown",1,0,0,0,0,0,"z","z","z"
"202223","Academic year","National","E92000001","England",,,,,,"School type group","Unknown",1,0,0,0,0,0,"z","z","z"
"202122","Academic year","National","E92000001","England",,,,,,"Gender","Female",18314,19286,17885,27,17123,735,"0.2","95.7","4.1"
"202223","Academic year","National","E92000001","England",,,,,,"Gender","Female",16126,13929,15746,1,15137,608,"0","96.1","3.9"
"202122","Academic year","National","E92000001","England",,,,,,"Gender","Male",6197,6240,6054,10,5788,256,"0.2","95.6","4.2"
"202223","Academic year","National","E92000001","England",,,,,,"Gender","Male",5344,4555,5221,0,5010,211,"0","96","4"
"202122","Academic year","National","E92000001","England",,,,,,"Gender","Unknown",2137,1187,53,0,52,1,"0","98.1","1.9"
"202223","Academic year","National","E92000001","England",,,,,,"Gender","Unknown",4821,884,22,0,20,2,"0","90.9","9.1"
"202122","Academic year","National","E92000001","England",,,,,,"Ethnicity","Any Other ethnic group",241,144,240,1,226,13,"0.4","94.2","5.4"
"202223","Academic year","National","E92000001","England",,,,,,"Ethnicity","Any Other ethnic group",226,121,224,0,214,10,"0","95.5","4.5"
"202122","Academic year","National","E92000001","England",,,,,,"Ethnicity","Any other Mixed background",511,389,506,0,470,36,"0","92.9","7.1"
"202223","Academic year","National","E92000001","England",,,,,,"Ethnicity","Any other Mixed background",503,268,495,0,472,23,"0","95.4","4.6"
"202122","Academic year","National","E92000001","England",,,,,,"Ethnicity","Asian or Asian British",1634,1160,1560,2,1484,74,"0.1","95.1","4.7"
"202223","Academic year","National","E92000001","England",,,,,,"Ethnicity","Asian or Asian British",1529,912,1467,0,1392,75,"0","94.9","5.1"
"202122","Academic year","National","E92000001","England",,,,,,"Ethnicity","Black or Black British",759,530,733,3,698,32,"0.4","95.2","4.4"
"202223","Academic year","National","E92000001","England",,,,,,"Ethnicity","Black or Black British",602,402,582,0,551,31,"0","94.7","5.3"
"202122","Academic year","National","E92000001","England",,,,,,"Ethnicity","Unknown",5393,3381,3220,5,3107,108,"0.2","96.5","3.4"
"202223","Academic year","National","E92000001","England",,,,,,"Ethnicity","Unknown",7918,2442,3063,0,2959,104,"0","96.6","3.4"
"202122","Academic year","National","E92000001","England",,,,,,"Ethnicity","White",18110,21109,17733,26,16978,729,"0.1","95.7","4.1"
"202223","Academic year","National","E92000001","England",,,,,,"Ethnicity","White",15513,15223,15158,1,14579,578,"0","96.2","3.8"
"202122","Academic year","National","E92000001","England",,,,,,"Age Category","25 to 29",7646,4382,7366,14,7023,329,"0.2","95.3","4.5"
"202223","Academic year","National","E92000001","England",,,,,,"Age Category","25 to 29",6541,2957,6292,0,6045,247,"0","96.1","3.9"
"202122","Academic year","National","E92000001","England",,,,,,"Age Category","30 to 39",4246,10607,3961,5,3810,146,"0.1","96.2","3.7"
"202223","Academic year","National","E92000001","England",,,,,,"Age Category","30 to 39",3638,7669,3429,0,3304,125,"0","96.4","3.6"
"202122","Academic year","National","E92000001","England",,,,,,"Age Category","40 to 49",1948,6992,1843,2,1777,64,"0.1","96.4","3.5"
"202223","Academic year","National","E92000001","England",,,,,,"Age Category","40 to 49",1742,5147,1614,0,1557,57,"0","96.5","3.5"
"202122","Academic year","National","E92000001","England",,,,,,"Age Category","50 to 59",594,3049,554,0,525,29,"0","94.8","5.2"
"202223","Academic year","National","E92000001","England",,,,,,"Age Category","50 to 59",493,2396,461,0,443,18,"0","96.1","3.9"
"202122","Academic year","National","E92000001","England",,,,,,"Age Category","60 and over",21,242,16,0,16,0,"0","100","0"
"202223","Academic year","National","E92000001","England",,,,,,"Age Category","60 and over",29,193,24,0,24,0,"0","100","0"
"202122","Academic year","National","E92000001","England",,,,,,"Age Category","Under 25",10107,295,10251,16,9811,424,"0.2","95.7","4.1"
"202223","Academic year","National","E92000001","England",,,,,,"Age Category","Under 25",9049,130,9169,1,8794,374,"0","95.9","4.1"
"202122","Academic year","National","E92000001","England",,,,,,"Age Category","Unknown",2086,1146,1,0,1,0,"0","100","0"
"202223","Academic year","National","E92000001","England",,,,,,"Age Category","Unknown",4799,876,0,0,0,0,"z","z","z"
"202122","Academic year","National","E92000001","England",,,,,,"Working pattern","Full time",23256,21625,22815,36,21826,953,"0.2","95.7","4.2"
"202223","Academic year","National","E92000001","England",,,,,,"Working pattern","Full time",20414,15421,20035,1,19238,796,"0","96","4"
