time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,characteristic_group,characteristic,qualification_type,ssa_t1_desc,provider_type,apps_received,apps_approved,loan_amount_awarded_in_thousands
201617,Academic year,National,E92000001,England,,,Gender,Female,Total,Total,Total,66100,58100,160200
201617,Academic year,National,E92000001,England,,,Age group,19-23,Total,Total,Total,21240,18520,59500
201617,Academic year,National,E92000001,England,,,Age group,24-30,Total,Total,Total,27260,23680,69700
201617,Academic year,National,E92000001,England,,,Age group,31-40,Total,Total,Total,26110,23130,62900
201617,Academic year,National,E92000001,England,,,Age group,41-50,Total,Total,Total,14040,12510,32700
201617,Academic year,National,E92000001,England,,,Age group,50+,Total,Total,Total,4990,4420,11300
201617,Academic year,National,E92000001,England,,,Age group,Unknown,Total,Total,Total,30,20, low
201617,Academic year,National,E92000001,England,,,UK Status,UK,Total,Total,Total,77540,67770,193100
201617,Academic year,National,E92000001,England,,,UK Status,Non-UK,Total,Total,Total,16120,14520,43100
201617,Academic year,National,E92000001,England,,,Total,Total,A Level,Total,Total,680,600,600
201617,Academic year,National,E92000001,England,,,Total,Total,QAA Access to HE,Total,Total,20000,17030,55300
201617,Academic year,National,E92000001,England,,,Total,Total,Level 3 Certificate,Total,Total,8650,7770,8800
201617,Academic year,National,E92000001,England,,,Total,Total,Level 3 Diploma,Total,Total,52460,46490,145100
201617,Academic year,National,E92000001,England,,,Total,Total,Level 3 Vocational Qualification,Total,Total,5300,4580,11300
201617,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Certificate,Total,Total,990,890,1000
201617,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Diploma,Total,Total,3340,3000,10200
201617,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Vocational Qualification,Total,Total,2230,1920,3800
201617,Academic year,National,E92000001,England,,,Total,Total,Unknown,Total,Total,30,20, low
201617,Academic year,Regional,E92000001,England,East Midlands,E12000004,Total,Total,Total,Total,Total,6410,5620,15900
201617,Academic year,Regional,E92000001,England,East of England,E12000006,Total,Total,Total,Total,Total,7940,6890,21600
201617,Academic year,Regional,E92000001,England,London,E12000007,Total,Total,Total,Total,Total,17940,16280,46700
201617,Academic year,Regional,E92000001,England,North East,E12000001,Total,Total,Total,Total,Total,7500,6410,18600
201617,Academic year,Regional,E92000001,England,North West,E12000002,Total,Total,Total,Total,Total,12430,10760,31100
201617,Academic year,Regional,E92000001,England,South East,E12000008,Total,Total,Total,Total,Total,8730,7720,21300
201617,Academic year,Regional,E92000001,England,South West,E12000009,Total,Total,Total,Total,Total,10410,9100,25700
201617,Academic year,Regional,E92000001,England,West Midlands,E12000005,Total,Total,Total,Total,Total,9240,8180,24200
201617,Academic year,Regional,E92000001,England,Yorkshire and The Humber,E12000003,Total,Total,Total,Total,Total,12330,10670,29500
201617,Academic year,Regional,E92000001,England,Outside of England and unknown,z,Total,Total,Total,Total,Total,730,670,1800
201617,Academic year,National,E92000001,England,,,Total,Total,Total,"Agriculture, Horticulture and Animal Care",Total,2140,1910,9700
201617,Academic year,National,E92000001,England,,,Total,Total,Total,"Arts, Media and Publishing",Total,4030,3540,15100
201617,Academic year,National,E92000001,England,,,Total,Total,Total,"Business, Administration and Law",Total,13600,11970,28700
201617,Academic year,National,E92000001,England,,,Total,Total,Total,"Construction, Planning and the Built Environment",Total,3790,3370,13300
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Education and Training,Total,9010,8150,15000
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Engineering and Manufacturing Technologies,Total,1850,1640,7000
201617,Academic year,National,E92000001,England,,,Total,Total,Total,"Health, Public Services and Care",Total,28140,24640,69100
201617,Academic year,National,E92000001,England,,,Total,Total,Total,"History, Philosophy and Theology",Total,550,460,1300
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Information and Communication Technology,Total,1690,1430,5300
201617,Academic year,National,E92000001,England,,,Total,Total,Total,"Languages, Literature and Culture",Total,320,310,400
201617,Academic year,National,E92000001,England,,,Total,Total,Total,"Leisure, Travel and Tourism",Total,8520,7580,19700
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Preparation for Life and Work,Total,10,10, low
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Retail and Commercial Enterprise,Total,14170,12330,36500
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Science and Mathematics,Total,3150,2740,8400
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Social Sciences,Total,2670,2220,6500
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Unknown/Not applicable,Total,low,low, low
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Total,General FE College including Tertiary,51530,45560,131100
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Sixth form college,990,910,2100
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Special colleges,1700,1530,6000
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Other Public Funded,3860,3560,8500
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Schools,130,110,200
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Private Sector Public Funded,35420,30600,88300
201617,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Unknown,30,20, low
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,81510,71460,208000
201718,Academic year,National,E92000001,England,,,Gender,Male,Total,Total,Total,24420,21440,68200
201718,Academic year,National,E92000001,England,,,Gender,Female,Total,Total,Total,57090,50020,139800
201718,Academic year,National,E92000001,England,,,Age group,19-23,Total,Total,Total,19390,16570,53800
201718,Academic year,National,E92000001,England,,,Age group,24-30,Total,Total,Total,22930,19950,59100
201718,Academic year,National,E92000001,England,,,Age group,31-40,Total,Total,Total,22900,20370,56500
201718,Academic year,National,E92000001,England,,,Age group,41-50,Total,Total,Total,12010,10770,28700
